_ws.col.No.,_ws.col.Time,ip.src,ip.dst,tcp.seq,tcp.ack,tcp.len,tcp.port
"249","0.087993000","69.148.243.171","38.107.216.37","1","833553","0","49048"
"250","0.087993000","69.148.243.171","38.107.216.37","1","846585","0","49048"
"251","0.088005000","38.107.216.37","69.148.243.171","891473","1","24616","44465"
"252","0.088013000","69.148.243.171","38.107.216.37","1","849481","0","49048"
"253","0.088763000","69.148.243.171","38.107.216.37","1","856721","0","49048"
"254","0.088764000","69.148.243.171","38.107.216.37","1","866857","0","49048"
"255","0.088764000","69.148.243.171","38.107.216.37","1","874097","0","49048"
"256","0.088792000","38.107.216.37","69.148.243.171","916089","1","24616","44465"
"257","0.090017000","69.148.243.171","38.107.216.37","1","881337","0","49048"
"258","0.090018000","69.148.243.171","38.107.216.37","1","891473","0","49048"
"259","0.090027000","38.107.216.37","69.148.243.171","940705","1","15928","44465"
"260","0.091279000","69.148.243.171","38.107.216.37","1","900161","0","49048"
"261","0.091280000","69.148.243.171","38.107.216.37","1","913193","0","49048"
"262","0.091280000","69.148.243.171","38.107.216.37","1","916089","0","49048"
"263","0.091303000","38.107.216.37","69.148.243.171","956633","1","24616","44465"
"264","0.092048000","69.148.243.171","38.107.216.37","1","924777","0","49048"
"265","0.092048000","69.148.243.171","38.107.216.37","1","939257","0","49048"
"266","0.092061000","38.107.216.37","69.148.243.171","981249","1","26064","44465"
"267","0.093249000","69.148.243.171","38.107.216.37","1","942153","0","49048"
"268","0.093249000","69.148.243.171","38.107.216.37","1","950841","0","49048"
"269","0.093249000","69.148.243.171","38.107.216.37","1","956633","0","49048"
"270","0.093260000","38.107.216.37","69.148.243.171","1007313","1","14480","44465"
"271","0.094522000","69.148.243.171","38.107.216.37","1","963873","0","49048"
"272","0.094522000","69.148.243.171","38.107.216.37","1","974009","0","49048"
"273","0.094542000","38.107.216.37","69.148.243.171","1021793","1","17376","44465"
"274","0.094735000","69.148.243.171","38.107.216.37","1","981249","0","49048"
"275","0.095263000","69.148.243.171","38.107.216.37","1","988489","0","49048"
"276","0.095263000","69.148.243.171","38.107.216.37","1","1001521","0","49048"
"277","0.095264000","69.148.243.171","38.107.216.37","1","1007313","0","49048"
